Rank,Author,Title,Citations,Year,Publisher,Venue,Source,cit/year
81,"Shen, X Liu, X Hu, D Zhang…",Contrastive learning of subject-invariant EEG representations for cross-subject emotion recognition,10,2022, ieeexplore.ieee.org, IEEE Transactions on …,https://ieeexplore.ieee.org/abstract/document/9748967/,5
65,"Tao, T Sun, A Muhamed, S Genc…",Gated transformer for decoding human brain EEG signals,11,2021, ieeexplore.ieee.org, 2021 43rd Annual …,https://ieeexplore.ieee.org/abstract/document/9630210/,4
76," Bird, A Ekárt, DR Faria",Chatbot Interaction with Artificial Intelligence: human data augmentation with T5 and language transformer ensemble for text classification,13,2021, Springer, Journal of Ambient Intelligence and …,https://link.springer.com/article/10.1007/s12652-021-03439-8,4
57,Lun,A proposal for multimodal emotion recognition using aural transformers and action units on RAVDESS dataset,13,2021, mdpi.com, Applied Sciences,https://www.mdpi.com/2076-3417/12/1/327,4
39,"Han, J Qiu, J Zhu, M Xu, D Weber, B Li…",An empirical exploration of cross-domain alignment between language and electroencephalogram,6,2022, arxiv.org, arXiv preprint arXiv …,https://arxiv.org/abs/2208.06348,3
64,"Feng, C Cheng, M Zhao, H Deng…",EEG-based emotion recognition using spatial-temporal graph convolutional LSTM with attention mechanism,6,2022, ieeexplore.ieee.org, IEEE Journal of …,https://ieeexplore.ieee.org/abstract/document/9857562/,3
63,"An, N Xu, Z Qu",Leveraging spatial-temporal convolutional features for EEG-based emotion recognition,10,2021, Elsevier, Biomedical Signal Processing and Control,https://www.sciencedirect.com/science/article/pii/S1746809421003402,3
67,"Jin, H Chen, Z Li, J Li",EEG-based emotion recognition using graph convolutional network with learnable electrode relations,5,2021, ieeexplore.ieee.org, … of the IEEE Engineering in Medicine …,https://ieeexplore.ieee.org/abstract/document/9630195/,2
54,"Zhou, D Huang, C Liu, D Jiang",Objectivity meets subjectivity: A subjective and objective feature fused neural network for emotion recognition,4,2022, Elsevier, Applied Soft Computing,https://www.sciencedirect.com/science/article/pii/S1568494622002642,2
72,"Zuo, C Zhang, T Hämäläinen, H Gao, Y Fu, F Cong",Cross-Subject Emotion Recognition Using Fused Entropy Features of EEG,3,2022, mdpi.com, Entropy,https://www.mdpi.com/1824938,2
80,"Jiang, P Siriaraya, D Choi, N Kuwahara",Emotion Recognition Using Electroencephalography Signals of Older People for Reminiscence Therapy,3,2022, frontiersin.org, Frontiers in Physiology,https://www.frontiersin.org/articles/10.3389/fphys.2021.823013/full?utm_source=dlvr.it&utm_medium=twitter,2
99,"Fan, X Xu, B Cai, X Xing",ISNet: Individual standardization network for speech emotion recognition,4,2022, ieeexplore.ieee.org, IEEE/ACM Transactions on Audio …,https://ieeexplore.ieee.org/abstract/document/9767771/,2
36,"Kumar, A Shrimal, MS Akhtar…",Discovering emotion and reasoning its flip in multi-party conversations using masked memory network and transformer,5,2022, Elsevier,Based Systems,https://www.sciencedirect.com/science/article/pii/S0950705121011709,2
100,"Li, T Zhang, CLP Chen, K Yi…",Residual GCB-Net: Residual graph convolutional broad network on emotion recognition,5,2022, ieeexplore.ieee.org, IEEE Transactions on …,https://ieeexplore.ieee.org/abstract/document/9698117/,2
3," Guo, Q Cai, JP An, PY Chen, C Ma, JH Wan…",A Transformer based neural network for emotion recognition and visualizations of crucial EEG channels,3,2022, Elsevier, Physica A: Statistical …,https://www.sciencedirect.com/science/article/pii/S0378437122004642,2
6,"Arjun, AS Rajpoot…",Introducing attention mechanism for EEG signals: Emotion recognition with vision transformers,7,2021, ieeexplore.ieee.org, 2021 43rd Annual …,https://ieeexplore.ieee.org/abstract/document/9629837/,2
4,"Li, Z Zhang, X Zhang, G Huang…",EEG-based emotion recognition via transformer neural architecture search,5,2022, ieeexplore.ieee.org, IEEE Transactions on …,https://ieeexplore.ieee.org/abstract/document/9763316/,2
45,"Hu, L Chen, Y Luo, J Zhou",EEG-Based Emotion Recognition Using Convolutional Recurrent Neural Network with Multi-Head Self-Attention,2,2022, mdpi.com, Applied Sciences,https://www.mdpi.com/1929850,1
92," Chien, HC Chou, CC Lee",Self-assessed Emotion Classification from Acoustic and Physiological Features within Small-group Conversation,2,2021, dl.acm.org, … of the 2021 International Conference on …,https://dl.acm.org/doi/abs/10.1145/3461615.3485411,1
55,"Hu, W Sheng, B Dong, X Li",Tntc: two-stream network with transformer-based complementarity for gait-based emotion recognition,2,2022, ieeexplore.ieee.org,2022 IEEE …,https://ieeexplore.ieee.org/abstract/document/9746047/,1
91,"Zheng, C Wang, N Jia",Emotion recognition model based on multimodal decision fusion,3,2021, iopscience.iop.org, Journal of Physics: Conference Series,https://iopscience.iop.org/article/10.1088/1742-6596/1873/1/012092/meta,1
21,"Tubaishat, F A",EmoPercept: EEG-based emotion classification through perceiver,2,2022, Springer, Soft Computing,https://link.springer.com/article/10.1007/s00500-021-06578-4,1
38," Patamia, W Jin, KN Acheampong…",Transformer based multimodal speech emotion recognition with improved neural networks,2,2021, ieeexplore.ieee.org, … Pattern Recognition …,https://ieeexplore.ieee.org/abstract/document/9520692/,1
22,Vazque,Transformer-Based Self-Supervised Learning for Emotion Recognition,2,2022, ieeexplore.ieee.org, … Pattern Recognition …,https://ieeexplore.ieee.org/abstract/document/9956027/,1
34,"Du, Y Xu, X Wang, L Liu, P Ma",EEG temporal–spatial transformer for person identification,2,2022, nature.com, Scientific Reports,https://www.nature.com/articles/s41598-022-18502-3,1
11,"Wang, WB Jiang, R Li, BL Lu",Emotion transformer fusion: Complementary representation properties of eeg and eye movements on recognizing anger and surprise,4,2021, ieeexplore.ieee.org, 2021 IEEE International …,https://ieeexplore.ieee.org/abstract/document/9669556/,1
28,"Zheng, X Zhao, L Yao",Copula-based transformer in EEG to assess visual discomfort induced by stereoscopic 3D,2,2022, Elsevier, Biomedical Signal Processing and Control,https://www.sciencedirect.com/science/article/pii/S1746809422003251,1
10,"Wang, Y Wang, C Hu, Z Yin, Y Song",Temporal-spatial Representation Learning Transformer for EEG-based Emotion Recognition,0,2022, arxiv.org, arXiv preprint arXiv:2211.08880,https://arxiv.org/abs/2211.08880,0
71,"Fang, A He, Q Yu, B Gao, W Ding, T Zhang…","FAF: A novel multimodal emotion recognition approach integrating face, body and text",0,2022, arxiv.org, arXiv preprint arXiv …,https://arxiv.org/abs/2211.15425,0
70,"Du, Y Xu, X Wang, L Liu, P Ma",ETST: EEG Transformer for Person Identification,1,2022, researchsquare.com,,https://www.researchsquare.com/article/rs-1545508/latest.pdf,0
69,"Li, X Lin, Y Liu, R Song, J Cheng…",EEG-Based Emotion Recognition via Efficient Convolutional Neural Network and Contrastive Learning,1,2022, ieeexplore.ieee.org, IEEE Sensors …,https://ieeexplore.ieee.org/abstract/document/9875025/,0
74,"Liu, Y Wei, C Li, J Cheng, R Song…",Bi-CapsNet: A Binary Capsule Network for EEG-based Emotion Recognition,0,2022, ieeexplore.ieee.org, IEEE Journal of …,https://ieeexplore.ieee.org/abstract/document/9999486/,0
75,"Li, C Ren, C Li, N Zhao, D Lu…",SSTD: A Novel Spatio-Temporal Demographic Network for EEG-Based Emotion Recognition,1,2022, ieeexplore.ieee.org, IEEE Transactions on …,https://ieeexplore.ieee.org/abstract/document/9829548/,0
9,"Sun, W Cui, S Yu, H Han, B Hu…",A Dual-Branch Dynamic Graph Convolution Based Adaptive TransFormer Feature Fusion Network for EEG Emotion Recognition,0,2022, ieeexplore.ieee.org, IEEE Transactions on …,https://ieeexplore.ieee.org/abstract/document/9857970/,0
77,"Kim, TS Kim, WH Lee",Accelerating 3D convolutional neural network with channel bottleneck module for EEG-based emotion recognition,1,2022, mdpi.com, Sensors,https://www.mdpi.com/1820502,0
78,"Zheng, X Zhao, L Yao",Copula-Based Transformer in Stereoscopic EEG Data to Assess Visual Discomfort,0,0, papers.ssrn.com,Y Zheng  X Zhao,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3986909,0
79," Montero Quispe, DMS Utyiama, EM Dos Santos…",Applying Self-Supervised Representation Learning for Emotion Recognition Using Physiological Signals,0,2022, mdpi.com, Sensors,https://www.mdpi.com/1424-8220/22/23/9102,0
8,"Sun, X Wang, K Zhao, S Hao, T Wang",Multi-Channel EEG Emotion Recognition Based on Parallel Transformer and 3D-Convolutional Neural Network,1,2022, mdpi.com, Mathematics,https://www.mdpi.com/2227-7390/10/17/3131,0
7,"Xu, Y Du, J Zou, T Zhou, L Xiao, L Liu",AMDET: Attention based Multiple Dimensions EEG Transformer for Emotion Recognition,0,2022, arxiv.org, arXiv preprint arXiv …,https://arxiv.org/abs/2212.12134,0
25,"Lin, J Chen, W Ma, W Tang, Y Wang",EEG Emotion Recognition Using Improved Graph Neural Network with Channel Selection,0,2023, Elsevier, Computer Methods and Programs …,https://www.sciencedirect.com/science/article/pii/S0169260723000470,0
83,"Wang, P Gong, Y Zhou, X Wen…",Decoding the continuous motion imagery trajectories of upper limb skeleton points for EEG-based brain-computer interface,0,2022, ieeexplore.ieee.org, IEEE Transactions on …,https://ieeexplore.ieee.org/abstract/document/9964307/,0
84,"S Chien, H Goh, CM Sandino, JY Cheng",MAEEG: Masked Auto-encoder for EEG Representation Learning,0,2022, arxiv.org, arXiv preprint arXiv …,https://arxiv.org/abs/2211.02625,0
85, Arthanarisamy Ramaswamy…,Subject independent emotion recognition using EEG and physiological signals–a comparative study,0,2022, emerald.com, Applied Computing and …,https://www.emerald.com/insight/content/doi/10.1108/ACI-03-2022-0080/full/html,0
86,"Zeng, Q Wu, Y Jin, H Zheng, M Li…",Siam-GCAN: A Siamese Graph Convolutional Attention Network for EEG Emotion Recognition,0,2022, ieeexplore.ieee.org, IEEE Transactions …,https://ieeexplore.ieee.org/abstract/document/9931735/,0
12,"Song, Q Zheng, B Liu, X Gao",EEG Conformer: Convolutional Transformer for EEG Decoding and Visualization,0,2022, ieeexplore.ieee.org, IEEE Transactions on Neural …,https://ieeexplore.ieee.org/abstract/document/9991178/,0
87,"Busia, A Cossettini, TM Ingolfsson…",EEGformer: Transformer-Based Epilepsy Detection on Raw EEG Traces for Low-Channel-Count Wearable Continuous Monitoring Devices,0,2022, ieeexplore.ieee.org, … Circuits and Systems …,https://ieeexplore.ieee.org/abstract/document/9948637/,0
88,"Tian, D Li, Y Yang, F Hou, Z Yang…",A Novel Domain Adversarial Networks Based on 3D-LSTM and Local Domain Discriminator for Hearing-Impaired Emotion Recognition,1,2022, ieeexplore.ieee.org, IEEE Journal of …,https://ieeexplore.ieee.org/abstract/document/9913332/,0
89,Wang,Emotion Recognition Based on Multi-scale Convolutional Neural Network,0,2023, Springer, Data Mining and Big Data: 7th International …,https://link.springer.com/chapter/10.1007/978-981-19-9297-1_12,0
5,"Wei, Y Liu, C Li, J Cheng, R Song, X Chen",TC-Net: A Transformer Capsule Network for EEG-based emotion recognition,0,2023, Elsevier, Computers in Biology and …,https://www.sciencedirect.com/science/article/pii/S0010482522011714,0
93,"Sun, H Li, L Ma",Speech emotion recognition based on improved masking EMD and convolutional recurrent neural network,0,2022, ncbi.nlm.nih.gov, Frontiers in Psychology,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9869168/,0
95,"Kurczak, K Białas, R Chalupnik…",Using Brain-Computer Interface (BCI) and Artificial Intelligence for EEG Signal Analysis,0,2022, Springer, Recent Challenges in …,https://link.springer.com/chapter/10.1007/978-981-19-8234-7_17,0
96,"Guo, Z Chen, Y Li, H Liu",Audio-Visual Fusion Network Based on Conformer for Multimodal Emotion Recognition,0,2023, Springer, …   CICAI 2022  Beijing  China  August 27–28 …,https://link.springer.com/chapter/10.1007/978-3-031-20500-2_26,0
97,"Jia, B Zhang, H Lv, Z Xu, S Hu, H Li",CR-GCN: Channel-Relationships-Based Graph Convolutional Network for EEG Emotion Recognition,1,2022, mdpi.com, Brain Sciences,https://www.mdpi.com/1744406,0
98,"Yang, J Wu, K Ikeda, G Hattori, M Sugano…",Face-mask-aware Facial Expression Recognition based on Face Parsing and Vision Transformer,1,2022, Elsevier, Pattern Recognition …,https://www.sciencedirect.com/science/article/pii/S0167865522003312,0
68," Viji, J Jasper, T Latha",Efficient Emotion Based Automatic Speech Recognition Using Optimal Deep Learning Approach,0,2022, Elsevier, Optik,https://www.sciencedirect.com/science/article/pii/S0030402622016333,0
16,"Cheng, Y Zhang, L Liu, W Liu…",Multi-domain Encoding of Spatiotemporal Dynamics in EEG for Emotion Recognition,0,2022, ieeexplore.ieee.org, IEEE Journal of …,https://ieeexplore.ieee.org/abstract/document/9999476/,0
13,"Zhong, Y Gu, Y Luo, X Zeng, G Liu",Bi-hemisphere asymmetric attention network: recognizing emotion from EEG signals based on the transformer,0,2022, Springer, Applied Intelligence,https://link.springer.com/article/10.1007/s10489-022-04228-2,0
23,Vazque,Emotion Recognition with Pre-Trained Transformers Using Multimodal Signals,0,2022, ieeexplore.ieee.org, 2022 10th …,https://ieeexplore.ieee.org/abstract/document/9953852/,0
46,"Liu, H Wu, L Zhang",CR-GAT: Consistency Regularization Enhanced Graph Attention Network for Semi-supervised EEG Emotion Recognition,0,2022, ieeexplore.ieee.org, 2022 IEEE International Conference on …,https://ieeexplore.ieee.org/abstract/document/9994941/,0
44,"Tang, Y Wang, X Zhang, Z Wang",STILN: A Novel Spatial-Temporal Information Learning Network for EEG-based Emotion Recognition,0,2022, arxiv.org, arXiv preprint arXiv:2211.12103,https://arxiv.org/abs/2211.12103,0
43," Kim, DK Jeong, JY Kim",Electroencephalogram-based emotional stress recognition according to audiovisual stimulation using spatial frequency convolutional gated transformer,0,2022, jask.or.kr, The Journal of the Acoustical Society of Korea,https://www.jask.or.kr/articles/xml/50BD/,0
42,Vazque,Using Multimodal Transformers in Affective Computing,1,2021, ieeexplore.ieee.org, 2021 9th International Conference on …,https://ieeexplore.ieee.org/abstract/document/9666396/,0
41,"Du, X Deng, H Qin, Y Shu, F Liu…",MMPosE: Movie-induced multi-label positive emotion classification through EEG signals,0,2022, ieeexplore.ieee.org, IEEE Transactions …,https://ieeexplore.ieee.org/abstract/document/9946368/,0
40,"Zheng, P Chang, F Liu, D Wang",Adaptive Neural Decision Tree For Eeg Based Emotion Recognition,0,1057, papers.ssrn.com,,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4331057,0
35,"Xu, X Qin, X Dong, X Cui",Emotion recognition of EEG signals based on variational mode decomposition and weighted cascade forest,0,2023, aimspress.com, Mathematical Biosciences and …,https://www.aimspress.com/aimspress-data/mbe/2023/2/PDF/mbe-20-02-120.pdf,0
14,"Wang, Z Zhou, H Shen, Q Xu, K Huang",JDAT: Joint-Dimension-Aware Transformer with Strong Flexibility for EEG Emotion Recognition,1,2021, techrxiv.org,,https://www.techrxiv.org/articles/preprint/JDAT_Joint-Dimension-Aware_Transformer_with_Strong_Flexibility_for_EEG_Emotion_Recognition/17056961,0
33,Marson,EEG data driven automatic soundtrack composition based on emotion recognition,0,2022, politesi.polimi.it,,https://www.politesi.polimi.it/handle/10589/188575,0
24,"Li, B Hou, X Li, Z Qiu, B Peng, Y Tian",TMLP+ SRDANN: A domain adaptation method for EEG-based emotion recognition,0,2023, Elsevier, Measurement,https://www.sciencedirect.com/science/article/pii/S0263224122015755,0
31,"Chen, J Tang, L Zhu, W Kong",A multi-stage dynamical fusion network for multimodal emotion recognition,1,2022, Springer, Cognitive Neurodynamics,https://link.springer.com/article/10.1007/s11571-022-09851-w,0
30,"Li, M Qiu, L Zhu, W Kong",Feature hypergraph representation learning on spatial-temporal correlations for EEG emotion recognition,0,2022, Springer, Cognitive Neurodynamics,https://link.springer.com/article/10.1007/s11571-022-09890-3,0
29,"Qayyum, I Razzak, M Tanveer…",Spontaneous Facial Behavior Analysis using Deep Transformer Based Framework for Child–Computer Interaction,1,2022, dl.acm.org, ACM Transactions on …,https://dl.acm.org/doi/abs/10.1145/3539577,0
27,"Wang, Y Xu, J Tian, H Li, W Jiao, Y Sun, G Li",Driving fatigue detection with three non-hair-bearing EEG channels and modified transformer model,0,2022, mdpi.com, Entropy,https://www.mdpi.com/1965322,0
47,"Lu, Y Zhang, X Chu, Y Liu…",Combining multi-scale convolutional neural network and Transformers for EEG-Based RSVP detection,0,2022, ieeexplore.ieee.org, 2022 37th Youth Academic …,https://ieeexplore.ieee.org/abstract/document/10023688/,0
48,"Bai, J Liu, F Hou, Y Chen, M Cheng, Z Mao…",Emotion recognition with residual network driven by spatial-frequency characteristics of EEG recorded from hearing-impaired adults in response to video clips,0,2023, Elsevier, Computers in Biology …,https://www.sciencedirect.com/science/article/pii/S0010482522010526,0
49,"Wang, W Jo, D Zhao, W Wang, B Yang…",Husformer: A Multi-Modal Transformer for Multi-Modal Human State Recognition,0,2022, arxiv.org, arXiv preprint arXiv …,https://arxiv.org/abs/2209.15182,0
50,"Li, Y Wang, WL Zheng, BL Lu",A Multi-view Spectral-Spatial-Temporal Masked Autoencoder for Decoding Emotions with Self-supervised Learning,0,2022, dl.acm.org, Proceedings of the 30th ACM …,https://dl.acm.org/doi/abs/10.1145/3503161.3548243,0
20,"Yang, B Tag, Y Gu, C Wang, T Dingler…",Mobile Emotion Recognition via Multiple Physiological Signals using Convolution-augmented Transformer,1,2022, dl.acm.org, Proceedings of the …,https://dl.acm.org/doi/abs/10.1145/3512527.3531385,0
19,"Liu, H Wu, L Zhang, Y Zhao",Spatial-temporal Transformers for EEG Emotion Recognition,0,2022, dl.acm.org, 2022 The 6th International Conference …,https://dl.acm.org/doi/abs/10.1145/3571560.3571577,0
53," Kim, DK Jeong, JY Kim",Emotional Stress Recognition Using Electroencephalogram Signals Based on a Three-Dimensional Convolutional Gated Self-Attention Deep Neural Network,0,2022, mdpi.com, Applied Sciences,https://www.mdpi.com/2076-3417/12/21/11162,0
18,"Koorathota, Z Khan, P Lapborisuth…",Multimodal Neurophysiological Transformer for Emotion Recognition,0,2022, ieeexplore.ieee.org, 2022 44th Annual …,https://ieeexplore.ieee.org/abstract/document/9871421/,0
56,"Jia, Z Xiao, P Ji",End-to-end fatigue driving EEG signal detection model based on improved temporal-graph convolution network,0,2023, Elsevier, Computers in Biology and Medicine,https://www.sciencedirect.com/science/article/pii/S0010482522011398,0
17,"Peng, K Zhao, H Zhang, D Xu, X Kong",Temporal relative transformer encoding cooperating with channel attention for EEG emotion analysis,0,2023, Elsevier, Computers in Biology and …,https://www.sciencedirect.com/science/article/pii/S0010482523000021,0
58,"Delvigne, H Wannous, JP Vandeborre…",Spatio-Temporal Analysis of Transformer based Architecture for Attention Estimation from EEG,1,2022, ieeexplore.ieee.org, … Pattern Recognition …,https://ieeexplore.ieee.org/abstract/document/9956610/,0
59,"Zhao, L Pang, Y Lu, F Xie, Z He, X Gong…",Conditional Domain Adaptation Based on Initial Distribution Discrepancy for EEG Emotion Recognition,0,2023, Springer,Based …,https://link.springer.com/chapter/10.1007/978-3-031-23179-7_8,0
60,"Sharma, M Diwakar, C Arya",A systematic review on emotion recognition by using machine learning approaches,0,2022, aip.scitation.org, AIP Conference Proceedings,https://aip.scitation.org/doi/abs/10.1063/5.0113378,0
61, Muglikar,Application of Deep Learning Techniques for EEG Signal Classification,0,2021, search.proquest.com,,https://search.proquest.com/openview/bb45859027392fc9d4ba39e631f5bc6b/1?pq-origsite=gscholar&cbl=18750&diss=y,0
62,"Ye, CLP Chen, T Zhang",Hierarchical Dynamic Graph Convolutional Network With Interpretability for EEG-Based Emotion Recognition,1,2022, ieeexplore.ieee.org, IEEE Transactions on Neural …,https://ieeexplore.ieee.org/abstract/document/9979692/,0
26,"Pan, W Zheng",STS-Transformer: A Spatiotemporal Symmetrical Transformer,0,0, papers.ssrn.com,B Pan,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4142410,0
15,"Liu, Y Zhou, D Zhang",TcT: Temporal and channel Transformer for EEG-based Emotion Recognition,0,2022, ieeexplore.ieee.org, 2022 IEEE 35th International …,https://ieeexplore.ieee.org/abstract/document/9867021/,0
51,"Khan, AV Singh, R Agrawal",Enhanced Deep Learning Hybrid Model of CNN Based on Spatial Transformer Network for Facial Expression Recognition,0,2022, World Scientific, … Journal of Pattern Recognition and …,https://www.worldscientific.com/doi/abs/10.1142/S0218001422520280,0
