,Rank,Author,Title,Citations,Year,Publisher,Venue,Source,cit/year
57,85,"Sibilano, A Brunetti, D Buongiorno…",An attention-based deep learning approach for the classification of subjective cognitive decline and mild cognitive impairment using resting-state EEG,0,2023, iopscience.iop.org, Journal of Neural …,https://iopscience.iop.org/article/10.1088/1741-2552/acb96e/meta,0
58,86,"S Chien, H Goh, CM Sandino, JY Cheng",MAEEG: Masked Auto-encoder for EEG Representation Learning,0,2022, arxiv.org, arXiv preprint arXiv …,https://arxiv.org/abs/2211.02625,0
59,87,"Wang, P Gong, Y Zhou, X Wen…",Decoding the continuous motion imagery trajectories of upper limb skeleton points for EEG-based brain-computer interface,0,2022, ieeexplore.ieee.org, IEEE Transactions on …,https://ieeexplore.ieee.org/abstract/document/9964307/,0
60,81,"L Lew, D Wang, KK Ang, JH Lim…",EEG-video emotion-based summarization: Learning with EEG auxiliary signals,0,2022, ieeexplore.ieee.org, IEEE Transactions …,https://ieeexplore.ieee.org/abstract/document/9896953/,0
61,19,"Song, Q Zheng, B Liu, X Gao",EEG Conformer: Convolutional Transformer for EEG Decoding and Visualization,0,2022, ieeexplore.ieee.org, IEEE Transactions on Neural …,https://ieeexplore.ieee.org/abstract/document/9991178/,0
62,10,"Xu, Y Du, J Zou, T Zhou, L Xiao, L Liu",AMDET: Attention based Multiple Dimensions EEG Transformer for Emotion Recognition,0,2022, arxiv.org, arXiv preprint arXiv …,https://arxiv.org/abs/2212.12134,0
63,30,"Yang, B Tag, Y Gu, C Wang, T Dingler…",Mobile Emotion Recognition via Multiple Physiological Signals using Convolution-augmented Transformer,1,2022, dl.acm.org, Proceedings of the …,https://dl.acm.org/doi/abs/10.1145/3512527.3531385,0
64,37,"Xu, X Qin, X Dong, X Cui",Emotion recognition of EEG signals based on variational mode decomposition and weighted cascade forest,0,2023, aimspress.com, Mathematical Biosciences and …,https://www.aimspress.com/aimspress-data/mbe/2023/2/PDF/mbe-20-02-120.pdf,0
65,36,"Zheng, P Chang, F Liu, D Wang",Adaptive Neural Decision Tree For Eeg Based Emotion Recognition,0,1057, papers.ssrn.com,,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4331057,0
66,35,"Kuang, C Michoski",KAM-A Kernel Attention Module for Emotion Classification with EEG Data,0,2022, Springer, Interpretability of Machine Intelligence in Medical …,https://link.springer.com/chapter/10.1007/978-3-031-17976-1_9,0
67,34,"Wang, Y Xu, J Tian, H Li, W Jiao, Y Sun, G Li",Driving fatigue detection with three non-hair-bearing EEG channels and modified transformer model,0,2022, mdpi.com, Entropy,https://www.mdpi.com/1965322,0
68,33," Kim, DK Jeong, JY Kim",Emotional Stress Recognition Using Electroencephalogram Signals Based on a Three-Dimensional Convolutional Gated Self-Attention Deep Neural Network,0,2022, mdpi.com, Applied Sciences,https://www.mdpi.com/2076-3417/12/21/11162,0
69,15,"Du, X Deng, H Qin, Y Shu, F Liu…",MMPosE: Movie-induced multi-label positive emotion classification through EEG signals,0,2022, ieeexplore.ieee.org, IEEE Transactions …,https://ieeexplore.ieee.org/abstract/document/9946368/,0
70,31,"Fan, H Wang, X Zhu, X Cao, C Yi, Y Chen, J Jia, X Lu",FER-PCVT: Facial Expression Recognition with Patch-Convolutional Vision Transformer for Stroke Patients,0,2022, mdpi.com, Brain Sciences,https://www.mdpi.com/1971906,0
71,29," Lee, SH Chen, TC Chang, WK Lee, HT Hsu…",… Learning of a Transformer-Based Deep Learning Classifier Using an Initial Model from Action Observation EEG Data to Online Motor Imagery Classification,0,2023, mdpi.com, Bioengineering,https://www.mdpi.com/article/10.3390/bioengineering10020186,0
72,20,"Koorathota, Z Khan, P Lapborisuth…",Multimodal Neurophysiological Transformer for Emotion Recognition,0,2022, ieeexplore.ieee.org, 2022 44th Annual …,https://ieeexplore.ieee.org/abstract/document/9871421/,0
73,16,"Liu, Y Zhou, D Zhang",TcT: Temporal and channel Transformer for EEG-based Emotion Recognition,0,2022, ieeexplore.ieee.org, 2022 IEEE 35th International …,https://ieeexplore.ieee.org/abstract/document/9867021/,0
74,17,"Liu, H Wu, L Zhang, Y Zhao",Spatial-temporal Transformers for EEG Emotion Recognition,0,2022, dl.acm.org, 2022 The 6th International Conference …,https://dl.acm.org/doi/abs/10.1145/3571560.3571577,0
75,26,"Li, B Hou, X Li, Z Qiu, B Peng, Y Tian",TMLP+ SRDANN: A domain adaptation method for EEG-based emotion recognition,0,2023, Elsevier, Measurement,https://www.sciencedirect.com/science/article/pii/S0263224122015755,0
76,25,"Lin, J Chen, W Ma, W Tang, Y Wang",EEG Emotion Recognition Using Improved Graph Neural Network with Channel Selection,0,2023, Elsevier, Computer Methods and Programs …,https://www.sciencedirect.com/science/article/pii/S0169260723000470,0
77,24,Vazque,Emotion Recognition with Pre-Trained Transformers Using Multimodal Signals,0,2022, ieeexplore.ieee.org, 2022 10th …,https://ieeexplore.ieee.org/abstract/document/9953852/,0
78,22,"Pan, W Zheng",STS-Transformer: A Spatiotemporal Symmetrical Transformer,0,0, papers.ssrn.com,B Pan,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4142410,0
79,18,"Cheng, Y Zhang, L Liu, W Liu…",Multi-domain Encoding of Spatiotemporal Dynamics in EEG for Emotion Recognition,0,2022, ieeexplore.ieee.org, IEEE Journal of …,https://ieeexplore.ieee.org/abstract/document/9999476/,0
80,14,"Wang, Y Wang, C Hu, Z Yin, Y Song",Temporal-spatial Representation Learning Transformer for EEG-based Emotion Recognition,0,2022, arxiv.org, arXiv preprint arXiv:2211.08880,https://arxiv.org/abs/2211.08880,0
81,39,"Qu, Z Yin, L Yang",A novel mothed for EEG motor imagery classification with graph convolutional network,0,2023, spiedigitallibrary.org, Third International Conference on …,https://www.spiedigitallibrary.org/conference-proceedings-of-spie/12509/125092S/A-novel-mothed-for-EEG-motor-imagery-classification-with-graph/10.1117/12.2655824.short,0
82,40,"Sharma, R Maheshwari…",Machine Learning for Classification of Antithetical Emotional States,0,2022, ieeexplore.ieee.org, 2022 13th International …,https://ieeexplore.ieee.org/abstract/document/9984477/,0
83,41,"Li, Y Wang, WL Zheng, BL Lu",A Multi-view Spectral-Spatial-Temporal Masked Autoencoder for Decoding Emotions with Self-supervised Learning,0,2022, dl.acm.org, Proceedings of the 30th ACM …,https://dl.acm.org/doi/abs/10.1145/3503161.3548243,0
84,59,"Jia, Z Xiao, P Ji",End-to-end fatigue driving EEG signal detection model based on improved temporal-graph convolution network,0,2023, Elsevier, Computers in Biology and Medicine,https://www.sciencedirect.com/science/article/pii/S0010482522011398,0
85,58,"Tang, Y Wang, X Zhang, Z Wang",STILN: A Novel Spatial-Temporal Information Learning Network for EEG-based Emotion Recognition,0,2022, arxiv.org, arXiv preprint arXiv:2211.12103,https://arxiv.org/abs/2211.12103,0
86,57,"Wang, W Jo, D Zhao, W Wang, B Yang…",Husformer: A Multi-Modal Transformer for Multi-Modal Human State Recognition,0,2022, arxiv.org, arXiv preprint arXiv …,https://arxiv.org/abs/2209.15182,0
87,56,"Lu, Y Zhang, X Chu, Y Liu…",Combining multi-scale convolutional neural network and Transformers for EEG-Based RSVP detection,0,2022, ieeexplore.ieee.org, 2022 37th Youth Academic …,https://ieeexplore.ieee.org/abstract/document/10023688/,0
88,12,"Zhong, Y Gu, Y Luo, X Zeng, G Liu",Bi-hemisphere asymmetric attention network: recognizing emotion from EEG signals based on the transformer,0,2022, Springer, Applied Intelligence,https://link.springer.com/article/10.1007/s10489-022-04228-2,0
89,53,"Liu, H Wu, L Zhang",CR-GAT: Consistency Regularization Enhanced Graph Attention Network for Semi-supervised EEG Emotion Recognition,0,2022, ieeexplore.ieee.org, 2022 IEEE International Conference on …,https://ieeexplore.ieee.org/abstract/document/9994941/,0
90,52, Muglikar,Application of Deep Learning Techniques for EEG Signal Classification,0,2021, search.proquest.com,,https://search.proquest.com/openview/bb45859027392fc9d4ba39e631f5bc6b/1?pq-origsite=gscholar&cbl=18750&diss=y,0
91,13,"Sun, X Wang, K Zhao, S Hao, T Wang",Multi-Channel EEG Emotion Recognition Based on Parallel Transformer and 3D-Convolutional Neural Network,1,2022, mdpi.com, Mathematics,https://www.mdpi.com/2227-7390/10/17/3131,0
92,49,"Zheng, X Zhao, L Yao",Copula-Based Transformer in Stereoscopic EEG Data to Assess Visual Discomfort,0,0, papers.ssrn.com,Y Zheng  X Zhao,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3986909,0
93,48,"Chen, J Tang, L Zhu, W Kong",A multi-stage dynamical fusion network for multimodal emotion recognition,1,2022, Springer, Cognitive Neurodynamics,https://link.springer.com/article/10.1007/s11571-022-09851-w,0
94,47,"Kala, PK Mishra, SP Dubey",A Detailed Analysis & Parametric Comparison Of Eeg Processing Models,0,2022, pnrjournal.com, Journal of Pharmaceutical Negative …,https://pnrjournal.com/index.php/home/article/download/1299/1072,0
95,46,"Li, M Qiu, L Zhu, W Kong",Feature hypergraph representation learning on spatial-temporal correlations for EEG emotion recognition,0,2022, Springer, Cognitive Neurodynamics,https://link.springer.com/article/10.1007/s11571-022-09890-3,0
96,45,"Kumar, E Cambria…",Transformer-Based Bidirectional Encoder Representations for Emotion Detection from Text,0,2021, ieeexplore.ieee.org, 2021 IEEE Symposium …,https://ieeexplore.ieee.org/abstract/document/9660152/,0
97,43," Kim, DK Jeong, JY Kim",Electroencephalogram-based emotional stress recognition according to audiovisual stimulation using spatial frequency convolutional gated transformer,0,2022, jask.or.kr, The Journal of the Acoustical Society of Korea,https://www.jask.or.kr/articles/xml/50BD/,0
98,42,"Wang, Z Wang",CNN with Self-attention in EEG Classification,0,2022, Springer,Late Breaking Papers …,https://link.springer.com/chapter/10.1007/978-3-031-17618-0_36,0
99,51,"Kurczak, K Białas, R Chalupnik…",Using Brain-Computer Interface (BCI) and Artificial Intelligence for EEG Signal Analysis,0,2022, Springer, Recent Challenges in …,https://link.springer.com/chapter/10.1007/978-981-19-8234-7_17,0
100,90,"Siriwardhana, A Reis, R Weerasekera…","Jointly fine-tuning"" bert-like"" self supervised models to improve multimodal speech emotion recognition",76,2020, arxiv.org, arXiv preprint arXiv …,https://arxiv.org/abs/2008.06682,19
101,82,"Maithri, U Raghavendra, A Gudigar…",Automated emotion recognition: Current trends and future perspectives,19,2022, Elsevier, Computer methods and …,https://www.sciencedirect.com/science/article/pii/S0169260722000311,10
102,94,"Cai, J Yuan, R Zheng, L Huang, K Church",Speech Emotion Recognition with Multi-Task Learning.,28,2021, openreview.net, Interspeech,https://openreview.net/pdf?id=K90Yn2bZZ37H,9
103,73,"Zhao, G Jia, J Yang, G Ding…",Emotion recognition from multiple modalities: Fundamentals and methodologies,26,2021, ieeexplore.ieee.org, IEEE Signal Processing …,https://ieeexplore.ieee.org/abstract/document/9591550/,9
104,81,"Shen, X Liu, X Hu, D Zhang…",Contrastive learning of subject-invariant EEG representations for cross-subject emotion recognition,10,2022, ieeexplore.ieee.org, IEEE Transactions on …,https://ieeexplore.ieee.org/abstract/document/9748967/,5
105,64,"Feng, C Cheng, M Zhao, H Deng…",EEG-based emotion recognition using spatial-temporal graph convolutional LSTM with attention mechanism,6,2022, ieeexplore.ieee.org, IEEE Journal of …,https://ieeexplore.ieee.org/abstract/document/9857562/,3
106,67,"Jin, H Chen, Z Li, J Li",EEG-based emotion recognition using graph convolutional network with learnable electrode relations,5,2021, ieeexplore.ieee.org, … of the IEEE Engineering in Medicine …,https://ieeexplore.ieee.org/abstract/document/9630195/,2
107,72,"Zuo, C Zhang, T Hämäläinen, H Gao, Y Fu, F Cong",Cross-Subject Emotion Recognition Using Fused Entropy Features of EEG,3,2022, mdpi.com, Entropy,https://www.mdpi.com/1824938,2
108,80,"Jiang, P Siriaraya, D Choi, N Kuwahara",Emotion Recognition Using Electroencephalography Signals of Older People for Reminiscence Therapy,3,2022, frontiersin.org, Frontiers in Physiology,https://www.frontiersin.org/articles/10.3389/fphys.2021.823013/full?utm_source=dlvr.it&utm_medium=twitter,2
109,99,"Fan, X Xu, B Cai, X Xing",ISNet: Individual standardization network for speech emotion recognition,4,2022, ieeexplore.ieee.org, IEEE/ACM Transactions on Audio …,https://ieeexplore.ieee.org/abstract/document/9767771/,2
110,100,"Li, T Zhang, CLP Chen, K Yi…",Residual GCB-Net: Residual graph convolutional broad network on emotion recognition,5,2022, ieeexplore.ieee.org, IEEE Transactions on …,https://ieeexplore.ieee.org/abstract/document/9698117/,2
111,91,"Zheng, C Wang, N Jia",Emotion recognition model based on multimodal decision fusion,3,2021, iopscience.iop.org, Journal of Physics: Conference Series,https://iopscience.iop.org/article/10.1088/1742-6596/1873/1/012092/meta,1
112,71,"Fang, A He, Q Yu, B Gao, W Ding, T Zhang…","FAF: A novel multimodal emotion recognition approach integrating face, body and text",0,2022, arxiv.org, arXiv preprint arXiv …,https://arxiv.org/abs/2211.15425,0
113,69,"Li, X Lin, Y Liu, R Song, J Cheng…",EEG-Based Emotion Recognition via Efficient Convolutional Neural Network and Contrastive Learning,1,2022, ieeexplore.ieee.org, IEEE Sensors …,https://ieeexplore.ieee.org/abstract/document/9875025/,0
114,74,"Liu, Y Wei, C Li, J Cheng, R Song…",Bi-CapsNet: A Binary Capsule Network for EEG-based Emotion Recognition,0,2022, ieeexplore.ieee.org, IEEE Journal of …,https://ieeexplore.ieee.org/abstract/document/9999486/,0
115,75,"Li, C Ren, C Li, N Zhao, D Lu…",SSTD: A Novel Spatio-Temporal Demographic Network for EEG-Based Emotion Recognition,1,2022, ieeexplore.ieee.org, IEEE Transactions on …,https://ieeexplore.ieee.org/abstract/document/9829548/,0
116,77,"Kim, TS Kim, WH Lee",Accelerating 3D convolutional neural network with channel bottleneck module for EEG-based emotion recognition,1,2022, mdpi.com, Sensors,https://www.mdpi.com/1820502,0
117,79," Montero Quispe, DMS Utyiama, EM Dos Santos…",Applying Self-Supervised Representation Learning for Emotion Recognition Using Physiological Signals,0,2022, mdpi.com, Sensors,https://www.mdpi.com/1424-8220/22/23/9102,0
118,85, Arthanarisamy Ramaswamy…,Subject independent emotion recognition using EEG and physiological signals–a comparative study,0,2022, emerald.com, Applied Computing and …,https://www.emerald.com/insight/content/doi/10.1108/ACI-03-2022-0080/full/html,0
119,86,"Zeng, Q Wu, Y Jin, H Zheng, M Li…",Siam-GCAN: A Siamese Graph Convolutional Attention Network for EEG Emotion Recognition,0,2022, ieeexplore.ieee.org, IEEE Transactions …,https://ieeexplore.ieee.org/abstract/document/9931735/,0
120,88,"Tian, D Li, Y Yang, F Hou, Z Yang…",A Novel Domain Adversarial Networks Based on 3D-LSTM and Local Domain Discriminator for Hearing-Impaired Emotion Recognition,1,2022, ieeexplore.ieee.org, IEEE Journal of …,https://ieeexplore.ieee.org/abstract/document/9913332/,0
121,89,Wang,Emotion Recognition Based on Multi-scale Convolutional Neural Network,0,2023, Springer, Data Mining and Big Data: 7th International …,https://link.springer.com/chapter/10.1007/978-981-19-9297-1_12,0
122,93,"Sun, H Li, L Ma",Speech emotion recognition based on improved masking EMD and convolutional recurrent neural network,0,2022, ncbi.nlm.nih.gov, Frontiers in Psychology,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9869168/,0
